Name,Title,Company,Website,Contact Form URL,Status,Notes,Technology Need Signal,Source,Date Found
,,NeutraDC,https://www.neutradc.com,https://www.neutradc.com/contact-us,blocked,"Attempted 2026-09-05: browser navigation blocked by this session's network egress policy (403 on CONNECT, confirmed via proxy status endpoint, same root cause as WebFetch failures). Not a code bug - needs retry from a session/environment without this restriction, or manual visit.","Accelerating NeutraDC AI data center capacity in Batam (Nxera, 18MW initial phase scaling to 54MW) plus a 200MW Cikarang hyperscale expansion secured via a PLN power deal",https://www.neutradc.com/news/60643/data-center-fully-secured-before-launch-telkom-indonesia-accelerates-expansion-of-neutradc-capacity-in-batam,2026-09-05T20:13:57+00:00
,,ZanKore,https://zankore.com,https://zankore.com,blocked,"Attempted 2026-09-05: browser navigation blocked by this session's network egress policy (403 on CONNECT, confirmed via proxy status endpoint, same root cause as WebFetch failures). Not a code bug - needs retry from a session/environment without this restriction, or manual visit.","Indosat, Ooredoo Group, Nokia and Nvidia launched Zankore, targeting 1GW of Nvidia DSX AI Factory capacity in Indonesia, with an initial ~200MW live in Jakarta by H1 2027",https://zankore.com/,2026-09-05T20:13:57+00:00
,,BDx Indonesia,https://www.bdxworld.com,https://www.bdxworld.com/contact-us/,blocked,"Attempted 2026-09-05: browser navigation blocked by this session's network egress policy (403 on CONNECT, confirmed via proxy status endpoint, same root cause as WebFetch failures). Not a code bug - needs retry from a session/environment without this restriction, or manual visit.","Building BDx Jakarta CGK3, one of Indonesia's first liquid-cooled AI data center campuses, plus a $320M loan-backed expansion of CGK4/CGK5 to 1.2GVA for high-density AI workloads",https://www.bdxworld.com/locations/indonesia/,2026-09-05T20:13:57+00:00
Dina Yang,"Associate Director, Corporate Communications",Digital Edge Indonesia,https://id.digitaledgedc.com,https://id.digitaledgedc.com/get-in-touch,blocked,"Attempted 2026-09-05: browser navigation blocked by this session's network egress policy (403 on CONNECT, confirmed via proxy status endpoint, same root cause as WebFetch failures). Not a code bug - needs retry from a session/environment without this restriction, or manual visit.","Announced a $4.5B investment in CGK Campus, a 500MW (scaling to 1GW) AI-ready hyperscale data center in Bekasi featuring direct-to-chip liquid cooling and a 1.25 target PUE",https://www.digitaledgedc.com/resources/newsroom/digital-edge-4-5b-cgk-500mw-ai-ready-hyperscale-campus-indonesia/,2026-09-05T20:13:57+00:00
,,Firmus Technologies,https://firmus.co,https://firmus.co/enquire,blocked,"Attempted 2026-09-05: browser navigation blocked by this session's network egress policy (403 on CONNECT, confirmed via proxy status endpoint, same root cause as WebFetch failures). Not a code bug - needs retry from a session/environment without this restriction, or manual visit.","Partnering with Nvidia on an 8-year deal to build a 360MW, 170,000-GPU AI Factory campus in Batam, Indonesia, going live Q1 2027",https://firmus.co/newsroom/firmus-to-build-170-000-gpu-ai-factor-y-campus-with-nvidia-for-global-ai-natives,2026-09-05T20:13:57+00:00
,,Biznet Data Center,https://www.biznetdatacenter.com,https://www.biznetdatacenter.com/id-en/contact/,pending,,"Building Indonesia's first AI-Ready Data Center in Jimbaran, Bali, targeted for completion October 2025, as a high-capacity AI processing hub",https://www.inilah.com/biznet-bangun-ai-data-center-pertama-di-bali-target-rampung-oktober-2025,2026-09-06T03:09:29+00:00
,,ION Network,https://ionnetwork.co.id,https://ionnetwork.co.id/kontak,pending,,Launched ProDC Data Center Bali in Denpasar (Eastern Indonesia expansion) with planned follow-on data center in Semarang,https://blog.ionnetwork.co.id/ion-network-resmikan-prodc-data-center-bali-perkuat-infrastruktur-digital-indonesia-timur/,2026-09-06T03:09:29+00:00
,,Omadata,https://www.omadata.com,https://www.omadata.com/en/contact-us-omadata,pending,,Expanding into Makassar with a new E3 Data Center to serve Eastern Indonesia demand,https://www.antaranews.com/berita/5435506/omadata-hadir-di-makassar-guna-perkuat-infrastruktur-digital,2026-09-06T03:09:29+00:00
,,Racks Central,https://www.rackscentral.com,https://www.rackscentral.com/contact,pending,,"Building a 95MW greenfield campus in Nongsa Digital Park, Batam engineered for liquid-ready cooling and high-density AI/HPC workloads",https://www.rackscentral.com/news/racks-central-expands-footprint-with-new-land-acquisition-in-nongsa-digital-park-batam,2026-09-06T03:09:29+00:00
,,Golden Digital Gateway,https://www.gawcapital.com,https://www.gawcapital.com/contact-us/,pending,,"Golden Digital Gateway JV data center in Nongsa Digital Park, Batam, 5.2MW first phase scaling to 20MW",https://www.gawcapital.com/news/pressrelease/gaw-capital-partners-announces-the-launch-of-golden-digital-gateway-data-center-in-nongsa-digital-park-indonesia/,2026-09-06T03:09:29+00:00
,,Tencent Cloud Indonesia,https://www.tencentcloud.com/ind,https://www.tencentcloud.com/ind/contact-us,pending,,"Committing ~$500M to build a third Internet Data Center in Indonesia (announced at the Indonesia-China Business Forum), described as an 'ultra-advanced' facility to support local AI/cloud adoption; no verifiable published business email found, only a contact form",https://www.datacenterdynamics.com/en/news/tencent-to-invest-500m-for-data-center-development-in-indonesia/,2026-09-06T03:09:29+00:00
,,Huawei Cloud Indonesia,https://www.huaweicloud.com/intl/en-us/,https://e.huawei.com/id/forms/2024/id/promotion/ap-commercial-market-form,pending,,"Announced plans to roll out a 4th availability zone in its Jakarta Region in 2026, expanding from 3 AZs, as part of accelerating an 'ASEAN AI Engine' build-out; no verifiable published business email found, only an enterprise enquiry form",https://www.huaweicloud.com/intl/en-us/news/20251202211215846.html,2026-09-06T03:09:29+00:00
,,Lintasarta (PT Aplikanusa Lintasarta),https://www.lintasarta.net,https://www.lintasarta.net/en/contact-us/,pending,,"Launched GPU Merdeka, a sovereign AI cloud (GPUaaS) built on NVIDIA H100 SXM GPUs, alongside parent Indosat's $200M AI data center/telco building planned in Surakarta with Nvidia; published contact emails are on the lintasarta.co.id domain (mismatched from the lintasarta.net site the claim was verified on), so routed to contact form only per domain-match rule",https://www.lintasarta.net/en/news/lintasarta-presents-gpu-merdeka-an-advanced-sovereign-ai-cloud-for-indonesia-powered-by-nvidia-ai/,2026-09-06T03:09:29+00:00
,,Bank Rakyat Indonesia (BRI) - IT Center Ragunan,https://www.ir-bri.com,https://www.ir-bri.com,pending,,"Building a new 60,933 sqm IT Center in Ragunan, South Jakarta (a 13-floor Techno Building plus a 5-floor Cloud/data-center building), structural topping-off complete, testing and commissioning targeted for January 2026; only a general customer-service inbox (callbri@bri.co.id, retail channel) was found, not a genuine B2B/infrastructure contact, so routed to the investor-relations site instead of an email claim",https://voi.id/en/economy/502508,2026-09-06T03:09:29+00:00
,,DAMAC Digital (EDGNEX Cikarang AI Campus),https://www.edgnex.com,https://www.edgnex.com/contact/,pending,,"Building a $2.3B, 144MW AI-focused data center in Cikarang, Bekasi (Greenland International Industrial Center) designed for high-density AI racks with a target PUE of 1.32, phase one due for service by December 2026; no independently-verified published business email found, only a contact form",https://www.datacenterdynamics.com/en/news/damac-backed-edgnex-to-invest-23bn-for-data-center-in-indonesia/,2026-09-06T03:09:29+00:00
Tan Wie Tjin,President Director & Founder,Datacomm Diangraha,https://www.datacomm.co.id,https://www.datacomm.co.id/contact,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",Nokia/Blaize/Datacomm hybrid AI inference infrastructure alliance across Indonesia; data centers evolving toward GPU infrastructure,https://www.prnewswire.com/news-releases/nokia-blaize-and-datacomm-diangraha-unite-to-deliver-hybrid-ai-inference-across-indonesia-and-southeast-asia-302755505.html,2026-09-08T13:07:33+00:00
,Sales,Biznet Gio Nusantara,https://www.biznetgio.com,https://www.biznetgio.com/en/contact-us,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",NEO GPU cloud service with up to 8x NVIDIA H200 GPUs per instance for AI workloads,https://www.biznetgio.com/en/product/neo-gpu,2026-09-08T13:07:33+00:00
Haris Izmee,"Managing Director, Indonesia",Equinix Indonesia,https://www.equinix.com/data-centers/asia-pacific-colocation/indonesia-colocation,https://www.equinix.com/contact-us,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",JK1 Jakarta first AI-ready IBX data center; phase two liquid cooling for high-density AI workloads,https://newsroom.equinix.com/2025-05-15-Equinix-Unveils-Its-First-AI-Ready-Data-Center-with-Dense-Ecosystem-in-Jakarta,2026-09-08T13:07:33+00:00
,Sales,AREA31 Datacenter & Teleport Facilities,https://area31.id,https://area31.id/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",$67.5M expansion of Depok hyperscale campus including new 600kW Data Hall 2,https://www.datacenterdynamics.com/en/news/area31-to-invest-675m-in-depok-indonesia-data-center/,2026-09-08T13:07:33+00:00
,General Enquiries,SpaceDC,https://spacedc.com,https://spacedc.com/contact-us/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without","JAK1 first-in-Indonesia advanced cooling campus, water-cooled racks up to 50kW",https://spacedc.com/spacedcs-data-center-campus-first-in-indonesia-to-feature-advanced-cooling-technology-to-facilitate-energy-and-space-efficiencies/,2026-09-08T13:07:33+00:00
,Public Relations (Humas),Universitas Gadjah Mada,https://ugm.ac.id,https://ugm.ac.id/en/1426-contacts/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",UGM Indosat NVIDIA AI Technology Center hosting an NVIDIA DGX Station on campus,https://ugm.ac.id/en/news/ugm-partners-with-nvidia-and-indosat-to-advance-ai-research/,2026-09-08T13:07:33+00:00
,Info/Sales,NEX Datacenter (PT CBN Nusantara),https://www.nexdatacenter.com,https://www.nexdatacenter.com/contact/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",High-density colocation up to 10kVA/rack across Jakarta CBD facilities,https://www.nexdatacenter.com/locations/,2026-09-08T13:07:33+00:00
,Press/Media Relations,Amazon Web Services (AWS) Indonesia,https://aws.amazon.com/id/,https://aws.amazon.com/contact-us/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",Hiring DCEO Facility Manager (Indonesia) for data center chiller/cooling/electrical infrastructure operations,https://www.amazon.jobs/en/jobs/3187721/dceo-facility-manager-indonesia-data-center-engineering-operations,2026-09-08T13:07:33+00:00
,Sales,Zettagrid Indonesia,https://www.zettagrid.id,https://www.zettagrid.id/contact-us/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without","Enterprise AI Instances on Dell + NVIDIA A100/H100 GPUs, GPU vWorkstations",https://www.zettagrid.id/gpu-vworkstations/,2026-09-08T13:07:33+00:00
,Sales,Wowrack Indonesia,https://www.wowrack.co.id,https://www.wowrack.com/en-id/contact/,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without",GPUaaS offering from Jakarta/Surabaya data centers for AI workloads,https://www.wowrack.com/en-us/blog/colocation/gpu-as-a-service/,2026-09-08T13:07:33+00:00
,,Astragraphia Information Technology (AGIT),https://www.ag-it.com,https://www.ag-it.com/contact-us,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without","Astra Graphia's IT subsidiary AGIT is expanding its data center business and partnering with HPE and Equinix to build AI-based private cloud infrastructure for the Indonesian market; only individual staff emails found (guessed-pattern, not published), so routed via contact form",https://www.itworks.id/53011/lewat-anak-usaha-astra-graphia-berencana-perkuat-bisnis-data-center.html,2026-09-08T13:07:33+00:00
,,Oracle Indonesia,https://www.oracle.com/id/,https://www.oracle.com/id/corporate/contact/global.html,pending,"Attempted 2026-09-08T13:13:14.278333+00:00: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for www.datacomm.co.id and also for a generic control host www.google.com, confirming a session-wide policy block, not a site-specific issue). Not a code bug - left as pending, needs retry from a session/environment without","Launched its Indonesia North (Batam) cloud region (live by April 2026) leasing data center capacity at Nongsa Digital Park from DayOne Data Centers Singapore; only a reseller-partner email (ilogoindonesia.com, domain-mismatched) found, so routed via Oracle's own contact page",https://www.datacenterdynamics.com/en/news/oracle-considers-indonesian-cloud-region-in-batam-report/,2026-09-08T13:07:33+00:00
,,Indosat Ooredoo Hutchison,https://ioh.co.id/,https://indosatooredoo.com/portal/ar/ioh-contact-us,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res",AI Center of Excellence with NVIDIA/Cisco; $200M Surakarta AI center; Raia Grid domestic GPU assembly JV,https://blogs.nvidia.com/blog/indonesia-ai-center-of-excellence,2026-09-09T07:25:08+00:00
,,Peruri,https://www.peruri.co.id/,https://www.peruri.co.id/contact-us,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res",Peruri participated in launch of NVIDIA-powered GPU Merdeka sovereign AI cloud,https://www.lintasarta.net/en/news/lintasarta-presents-gpu-merdeka-an-advanced-sovereign-ai-cloud-for-indonesia-powered-by-nvidia-ai/,2026-09-09T07:25:08+00:00
,,PLN Icon Plus (PT Indonesia Comnets Plus),https://www.plniconplus.co.id/,https://plniconplus.co.id/contact,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","PLN Icon Plus (ICON+), PLN's telecom/data center subsidiary, states its commitment to supporting green data center development in Indonesia and operates its own DC2 data center facility amid rising AI-driven power and cooling demand",https://listrikindonesia.com/detail/14093/energi-bersih-pln-icon-plus-siap-dukung-proyek-data-center-indonesia,2026-09-09T07:25:08+00:00
,,Telkomsigma (PT Sigma Cipta Caraka),https://www.telkomsigma.co.id/,https://www.telkomsigma.co.id/contact-us-2/,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","Telkomsigma operates 3 data centers (Tangerang, Sentul, Surabaya) and is positioning them as AI-ready facilities requiring GPU-dense, high-power infrastructure as it scales AI/ML cloud services for its 300+ enterprise and banking clients",https://www.telkomsigma.co.id/data-center-telkomsigma/,2026-09-09T07:25:08+00:00
,,Telin,https://www.telin.net/,https://www.telin.net/id/temui-kami/hubungi-kami,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res",Building Nongsa-Changi and INSICA subsea cables for Batam-Singapore DC-to-DC traffic surge,https://www.datacenterdynamics.com/en/news/telin-and-bw-digital-partner-on-batam-singapore-subsea-cable/,2026-09-09T07:25:08+00:00
,,Sentral Data Nusantara (PT Sentral Data Solusindo Nusantara),https://sdn-dc.com/,https://sdn-dc.com/,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","Markets itself as purpose-built for scalable parallel compute with multi-GPU clusters, high-bandwidth interconnects, and advanced cooling solutions for maximum AI throughput at its Jakarta AI data center",https://sdn-dc.com/,2026-09-09T07:25:08+00:00
,,Bank Negara Indonesia (BNI),https://www.bni.co.id/,https://www.bni.co.id/id-id/bantuan-dukungan/kontak-bni/hubungi-kami,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","BNI is among the first adopters of Cloudera AI Inferencing built on NVIDIA NIM microservices, deploying GPU-accelerated LLM inferencing with full rollout targeted by end of 2025 -- new GPU compute that will need high-density cooling",https://www.cloudera.com/about/news-and-blogs/press-releases/2025-08-06-bank-negara-indonesia-strengthens-partnership-with-cloudera-to-scale-ai-powered-business-transformation.html,2026-09-09T07:25:08+00:00
,,GDS Indonesia,https://www.gds-services.com/,https://www.gds-services.com/en/Contact.html,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","GDS + INA JV building 28MW hyperscale campus at Nongsa Digital Park, Batam",https://www.datacenterdynamics.com/en/news/gds-partners-with-indonesias-sovereign-wealth-fund-for-batam-data-center-campus/,2026-09-09T07:25:08+00:00
,,Aslan Energy Capital (Aslan Jakarta Data Centre / JIEP JV),https://www.aslanec.com/,https://www.aslanec.com/,pending,"Attempted 2026-09-09T07:27Z: browser navigation blocked by this session's network egress policy (confirmed via curl through the agent proxy: CONNECT tunnel failed, response 403; proxy status endpoint recorded connect_rejected / 'gateway answered 403 to CONNECT' for indosatooredoo.com and www.peruri.co.id, confirming a session-wide policy block, not a site-specific issue, consistent with the last 2 batches). Not a code bug - left as pending, needs retry from a session/environment without this res","Signed a binding Heads of Agreement with JIEP to build the 40MW Aslan Jakarta Data Centre, a Tier 4 hyperscale colocation facility for 7,000 racks, explicitly designing hybrid air-cooled heat rejection to cut cooling-tower water use -- a live cooling-technology decision point, targeted Q4 2027",https://www.prnewswire.com/apac/news-releases/aslan-energy-capital-and-jiep-sign-heads-of-agreement-to-develop-east-jakartas--renewable-powered-hyperscale-data-center-302481722.html,2026-09-09T07:25:08+00:00
